Country,Total_Cases2021,Total_deaths_2021,Population,%Infection_of_Total_Population,Averager_yearly_temperature,Airline_Passengers,population_density,median_age,aged_65_older%,aged_70_older%,hospital_beds_per_thousand,human_development_index,Tobacco use (% of adults)
Bahrain,416675,1042,1477469,0.0627,28.15,1450000,1935.91,32.4,0.02,0.01,2,0.85,0.149
Norway,1080818,869,5379475,0.0092,3.34,14040000,14.46,39.7,0.17,0.11,3.6,0.96,0.162
Ghana,28062,960,32180401,0.0017,28.1,320000,126.72,21.1,0.03,0.02,0.9,0.61,0.035
Suriname,29135,1067,607065,0.0102,26.9,90000,3.61,29.6,0.07,0.04,3.1,0.74,0
Guyana,32590,890,797202,0.0079,26.52,20000,3.95,26.3,0.05,0.03,1.6,0.68,0.121
Madagascar,17456,766,28225177,0.0006,22.89,190000,43.95,19.6,0.03,0.02,0.2,0.53,0.278
Luxembourg,207980,420,630419,0.0736,11.33,750000,231.45,39.7,0.14,0.1,4.51,0.92,0.211
Singapore,1922809,799,5685807,0.0103,28.02,7880000,7915.73,42.4,0.13,0.07,2.4,0.94,0.165
Mauritius,221500,776,1265740,0.0004,23.53,410000,622.96,37.4,0.11,0.06,3.4,0.8,0.202
Haiti,7724,537,11306801,0.0009,25.26,20000,398.45,24.3,0.05,0.03,0.7,0.51,0.077
Tanzania,13045,716,61704518,0,23.09,910000,64.7,17.7,0.03,0.02,0.7,0.53,0.087
Fiji,15370,696,920422,0.0001,25.29,410000,49.56,28.6,0.06,0.03,2.3,0.74,0.231
Cyprus,464284,518,1237537,0.0181,19.73,100000,127.66,37.3,0.13,0.09,3.4,0.89,0.351
Qatar,238900,373,2760385,0.0521,28.45,10640000,227.32,31.9,0.01,0.01,1.2,0.85,0.118
Belize,37106,354,394921,0.0273,26.38,970000,16.43,25,0.04,0.02,1.3,0.72,0.085
Malta,63911,257,515332,0.0248,20.04,550000,1454.04,42.4,0.19,0.11,4.49,0.9,0.24
Burkina Faso,4374,233,21522626,0.0003,29.63,70000,70.15,17.6,0.02,0.01,0.4,0.45,0.143
Togo,9180,180,8442580,0.0004,27.82,320000,143.37,19.4,0.03,0.02,0.7,0.52,0.068
Seychelles,25567,134,98462,0.0023,27.26,150000,208.35,36.2,0.09,0.06,3.6,0.8,0.202
Tajikistan,293,35,9543207,0.0014,3.59,260000,64.28,23.3,0.03,0.02,4.8,0.67,0
Eritrea,2178,73,3555868,0.0004,26.38,50000,44.3,19.3,0.04,0.02,0.7,0.46,0.075
New Zealand,2080737,22,5090200,0.0004,10.91,8520000,18.21,37.9,0.15,0.1,2.61,0.93,0.137
Iceland,180915,8,366463,0.0157,2,900000,3.4,37.3,0.14,0.09,2.91,0.95,0.12
Bhutan,59864,3,772506,0.0009,10.4,50000,21.19,28.6,0.05,0.03,1.7,0.65,0
